cluster,importance_mean,n_features,pct_RAC,pct_Zeo++
9,0.013783830673143043,17,1.0,0.0
10,0.007644430950728587,2,0.0,0.0
5,0.003088133240804958,1,1.0,0.0
13,0.0027454892435807617,2,1.0,0.0
18,0.001962612768910449,1,0.0,0.0
14,0.0008652845246356344,1,1.0,0.0
8,0.0005768563497571099,1,1.0,0.0
12,0.00020818875780704294,1,1.0,0.0
15,-4.987855655797513e-05,1,1.0,0.0
11,-7.37335183900345e-05,1,1.0,0.0
17,-0.00011710617626652376,1,0.0,0.0
3,-0.0009238376127690072,5,1.0,0.0
7,-0.001906228313671121,3,1.0,0.0
6,-0.0031770471894518038,1,1.0,0.0
1,-0.004593164469118793,6,1.0,0.0
2,-0.007076249132547047,6,1.0,0.0
4,-0.02102706453851514,11,1.0,0.0
16,-0.03158180083275534,9,0.0,0.4444444444444444
