feature,importance_mean,importance_std,type,cluster
D_func-alpha-2-all,0.004437022900763315,0.0011174752981732421,Other,10
D_func-alpha-3-all,0.003207408049965271,0.0012203431250386652,Other,10
D_lc-T-2-all,0.0031228313671061323,0.0016490168164122491,RAC,13
mc-chi-0-all,0.003088133240804958,0.0037182689261084263,RAC,5
D_mc-chi-2-all,0.002773681471200523,0.0016673092254123575,RAC,7
f-lig-I-0,0.0027563324080499053,0.0012800060576867325,RAC,9
f-lig-S-0,0.0023160999306037046,0.0014994273475265267,RAC,9
f-lig-Z-0,0.002151283830673123,0.002071034194887404,RAC,9
D_func-S-3-all,0.001962612768910449,0.0017641465371497525,Other,18
f-lig-Z-1,0.0016676786953504108,0.0015719507223976989,RAC,9
f-lig-T-1,0.0012447952810547614,0.0012045657694949002,RAC,9
f-lig-chi-0,0.0012231089521165472,0.0013206671637165882,RAC,9
f-lig-S-2,0.0011255204718944977,0.0013285403355506866,RAC,9
f-lig-chi-2,0.0008934767522553344,0.0012718176827280286,RAC,9
lc-Z-3-all,0.0008652845246356344,0.0010772213218958784,RAC,14
f-lig-T-3,0.0008284177654406144,0.0012823865478183453,RAC,9
f-lig-I-1,0.000676613462872977,0.0013586376907343146,RAC,9
mc-chi-2-all,0.0005768563497571099,0.0025648281053941495,RAC,8
f-lig-chi-1,0.0004705933379597349,0.0012705505438940401,RAC,9
f-lig-Z-2,0.0004055343511450038,0.0015285570146814473,RAC,9
f-chi-0-all,0.00035782442748091283,0.0011004930559909455,RAC,3
mc-T-2-all,0.00021686328938235743,0.0010069558263570324,RAC,4
lc-Z-2-all,0.00020818875780704294,0.001763438609137252,RAC,12
mc-Z-1-all,9.975711311585589e-05,0.0016299754137111403,RAC,2
D_mc-S-1-all,6.939625260234395e-05,0.0015820856966082312,RAC,1
mc-Z-2-all,-3.252949340738498e-05,0.001541339715106775,RAC,2
D_lc-chi-3-all,-4.987855655797513e-05,0.0017552950009455466,RAC,15
lc-chi-2-all,-7.37335183900345e-05,0.0015502373304986578,RAC,11
f-lig-chi-3,-8.24080499653268e-05,0.0014542393616055406,RAC,9
D_func-S-2-all,-0.00011710617626652376,0.001739027244908984,Other,17
f-lig-I-3,-0.00012578070784181606,0.001177941022369956,RAC,9
f-lig-S-1,-0.00019734559333798863,0.0015968252339736383,RAC,9
f-Z-0-all,-0.000247224149895936,0.0008959472625837297,RAC,3
f-Z-2-all,-0.0002624045801526864,0.0010038193838056604,RAC,3
f-chi-2-all,-0.0003599930603747803,0.0008874028842504341,RAC,3
D_lc-alpha-2-all,-0.00037734212352537045,0.001032333038810067,RAC,13
f-Z-1-all,-0.00041204024982651746,0.0011506840520213173,RAC,3
mc-T-1-all,-0.00046625607217213314,0.0013003752862551549,RAC,4
VPOV,-0.0006701075641915855,0.0023673079169673626,Other,16
D_mc-Z-1-all,-0.0007243233865371513,0.0013106223993312861,RAC,2
mc-chi-1-all,-0.0007308292852186371,0.0023759855124074664,RAC,1
f-lig-Z-3,-0.0007742019430950986,0.001367049138380266,RAC,9
D_mc-T-1-all,-0.000776370575988905,0.0011224136600383955,RAC,1
mc-S-2-all,-0.0007850451075642085,0.0013666792632110768,RAC,4
f-lig-S-3,-0.0007958882720333404,0.0010460164216270192,RAC,9
D_mc-T-2-all,-0.0008566099930603921,0.0018342519569984487,RAC,1
mc-S-1-all,-0.0009802220680083518,0.0012289395971232353,RAC,1
D_mc-chi-3-all,-0.0011341950034698233,0.002012756544881727,RAC,4
D_mc-chi-1-all,-0.0013185287994448513,0.0016520029912367085,RAC,1
mc-Z-0-all,-0.0013293719639140057,0.0016067960016061499,RAC,2
GPOV,-0.0013900936849410351,0.0022446125697755596,Zeo++,16
mc-T-3-all,-0.001613462873004856,0.0016741284108898957,RAC,4
mc-Z-3-all,-0.0017847848716169568,0.002648726526733225,RAC,2
D_mc-S-2-all,-0.0021469465648855045,0.002014308604526897,RAC,7
POAV_vol_frac,-0.0023551353226925974,0.0032164591090409157,Other,16
D_mc-Z-2-all,-0.0025329632199861396,0.002493131906907098,RAC,7
mc-S-3-all,-0.002654406662040276,0.001942765877487429,RAC,4
D_mc-T-3-all,-0.0027997050659264665,0.0019536710511969726,RAC,4
Df,-0.002810548230395593,0.001360519461290907,Zeo++,16
mc-I-3-all,-0.0029211485079805866,0.0022185135702564177,RAC,4
mc-chi-3-all,-0.0029298230395558788,0.0027149854781773736,RAC,4
D_mc-S-3-all,-0.0029298230395559065,0.002105092519728034,RAC,4
mc-I-2-all,-0.0030100624566273605,0.0017305853547050067,RAC,4
mc-S-0-all,-0.0031770471894518038,0.0014812175429600952,RAC,6
D_mc-Z-3-all,-0.003304996530187404,0.0026415194958113704,RAC,2
GPOAV,-0.0034611380985427155,0.002301964744296403,Other,16
VSA,-0.003484993060374786,0.002983341382091948,Zeo++,16
GSA,-0.0038579979181124604,0.0027342831830737724,Other,16
Di,-0.006475537820957694,0.0012417842669643928,Zeo++,16
Dif,-0.007076249132546869,0.0015417912297322825,Other,16
