feature,mean_abs_shap
mc-Z-3-all,0.012072937014398877
mc-chi-0-all,0.0115164956501531
VSA,0.00962511846752926
mc-chi-3-all,0.008701823993041546
D_mc-Z-3-all,0.008282680020339175
POAV_vol_frac,0.007918985967998036
D_mc-S-3-all,0.0077674448785658295
mc-I-3-all,0.0077473397468449156
mc-S-3-all,0.007162595589597604
mc-chi-2-all,0.006785350642612758
GSA,0.006756149081559689
D_mc-T-3-all,0.006017975194254044
D_mc-Z-2-all,0.005603836638681779
mc-I-2-all,0.0054940345360017665
lc-Z-2-all,0.005412017720573874
mc-Z-2-all,0.005369425372051774
mc-chi-1-all,0.005346583556156595
lc-chi-2-all,0.00533590988109091
mc-S-0-all,0.005248392720183271
D_mc-Z-1-all,0.005121846053779517
D_mc-chi-1-all,0.005098101733493912
mc-Z-0-all,0.0050203442175318965
VPOV,0.004986030241398303
f-lig-Z-1,0.004875206427766712
GPOAV,0.004722200623667885
f-lig-Z-0,0.004670331297268472
mc-Z-1-all,0.004590276600137988
Di,0.004491664919255907
f-lig-S-0,0.004482320129654277
mc-T-3-all,0.004325796909966452
mc-T-2-all,0.004253890311557635
D_mc-chi-3-all,0.004206242233309369
D_func-S-3-all,0.0041778172010625905
f-lig-Z-2,0.0041730011410904605
GPOV,0.004096320294963709
D_mc-S-2-all,0.004030226922858106
mc-S-2-all,0.003961013036613602
D_func-S-2-all,0.0039475572709293996
f-lig-chi-0,0.003936209824184097
Dif,0.00389917160137464
f-lig-I-1,0.0038343371652333307
D_lc-T-2-all,0.0038180140826380576
D_mc-chi-2-all,0.0038087717852593947
D_mc-S-1-all,0.003775675489381694
D_mc-T-2-all,0.003712338458141695
f-lig-S-1,0.0035814565962489302
Df,0.003573106864429523
f-lig-I-0,0.003569962889178074
f-lig-chi-1,0.0033827949136779885
f-lig-Z-3,0.0033520509451366544
f-lig-S-2,0.0031829694704068514
D_lc-chi-3-all,0.0031827688637654913
mc-S-1-all,0.0030850695580781355
f-lig-chi-3,0.0030659242072469646
D_mc-T-1-all,0.0030424697903679537
lc-Z-3-all,0.0030373902869590026
f-lig-chi-2,0.002955375575419669
f-lig-S-3,0.002898419598335748
f-lig-I-3,0.0027800338304233793
f-lig-T-3,0.0026823193189019824
D_func-alpha-2-all,0.0026535777898757207
f-chi-2-all,0.0025263805780715355
f-chi-0-all,0.0025050628456430584
D_func-alpha-3-all,0.0024881586193349894
mc-T-1-all,0.002360024705828774
f-lig-T-1,0.00231672034007542
f-Z-1-all,0.002277078303820988
D_lc-alpha-2-all,0.002211658202226429
f-Z-0-all,0.0021914900846026863
f-Z-2-all,0.001926073977574938
